"id","address","auction_start_date","bidding_end_time","bidding_start_time","cadastral_number","link","lot_name","lot_number","min_price","publish_date","real_estate_type","address_id"
"1","Республика Адыгея, Тахтамукайский р-н, пгт. Яблоновский, ул. Дорожная, дом №214, кв. 34; ","2022-11-10T10:00:00","2022-11-07T16:00:00","2022-10-19T00:00:00","01:05:0200190:185","https://torgi.gov.ru/new/public/notices/view/22000085210000000003","квартира пл. 74.50 кв. м., КН 01:05:0200190:185","1","1826900.00","2022-10-15T10:34:32.762","Квартира","1"
"2","Республика Адыгея, г. Майкоп, ул. Советская, д. 184, кв. 38","2022-11-10T10:00:00","2022-11-07T16:00:00","2022-10-19T00:00:00","01:08:0507064:105","https://torgi.gov.ru/new/public/notices/view/22000085210000000003","квартира пл. 88.80 кв. м., КН 01:08:0507064:105","2","5000000.00","2022-10-15T10:34:32.762","Квартира","2"
"3","Республика Адыгея, Гиагинский р-н, ст-ца Дондуковская, пер. Моздокский, д. 11","2022-11-10T10:00:00","2022-11-07T16:00:00","2022-10-19T00:00:00","01:01:0800112:22","https://torgi.gov.ru/new/public/notices/view/22000085210000000003","жилой дом пл. 166.20 кв.м., КН 01:01:0800112:22 и з/у пл. 275 кв.м., КН 01:01:0800112:17","3","2880528.45","2022-10-15T10:34:32.762","Дом","3"
"4","Республика Татарстан, РТ, Пестречинский р-н, с.Ленино-Кокушкино, ул. Гагарина, д. 1З, кв.15.","2022-10-25T09:00:00","2022-10-21T09:00:00","2022-10-16T01:00:00","NULL","https://torgi.gov.ru/new/public/notices/view/22000156000000000001","квартира, пл. 43,3 кв.м, кадастровый номер 16:ЗЗ:100105:416, адрес: РТ, Пестречинский р-н, с.Ленино-Кокушкино, ул. Гагарина, д. 1З, кв.15. Начальная цена – 709 750,00 руб. (1331 (II), Закирова И.С.);","1","709750.00","2022-10-16T00:31:27.327","Квартира","4"
"5","Республика Татарстан, РТ, г.Нурлат, ул.Козлова, д.16, кв.4","2022-10-25T09:00:00","2022-10-21T09:00:00","2022-10-16T01:00:00","16:56:010126:277","https://torgi.gov.ru/new/public/notices/view/22000156000000000001","квартира, пл. 44,4 кв.м., кадастровый номер 16:56:010126:277 адрес: РТ, г.Нурлат, ул.Козлова, д.16, кв.4. Начальная цена – 1 226 295,00 руб. (1389 (II), Азмуханов Т.Ф.);","6","1226295.00","2022-10-16T00:31:27.327","Квартира","5"
"6","Республика Татарстан, РТ, Высокогорский р-н, п. ж/д ст.Куркачи, ул.Тукая, д.4, кв.8","2022-10-25T09:00:00","2022-10-21T09:00:00","2022-10-16T01:00:00","16:16:130101:844","https://torgi.gov.ru/new/public/notices/view/22000156000000000001","квартира, пл. 59,7 кв.м, кадастровый номер 16:16:130101:844, адрес: РТ, Высокогорский р-н, п. ж/д ст.Куркачи, ул.Тукая, д.4, кв.8. Начальная цена – 1 270 920,00 руб. (1409 (II), Минимуллин Р.Р.);","7","1270920.00","2022-10-16T00:31:27.327","Квартира","6"
"7","Республика Татарстан, РТ, Сармановский р-н, п.Джалиль, ул.Лесная, д.17, кв.62","2022-10-25T09:00:00","2022-10-21T09:00:00","2022-10-16T01:00:00","16:36:200106:1448","https://torgi.gov.ru/new/public/notices/view/22000156000000000001","квартира, пл. 43,8 кв.м, кадастровый номер 16:36:200106:1448, адрес: РТ, Сармановский р-н, п.Джалиль, ул.Лесная, д.17, кв.62. Начальная цена – 468 350,00 руб. (1444 (II), Булатова Р.М., Шакирзянов Л.М.);","9","468350.00","2022-10-16T00:31:27.327","Квартира","7"
"8","Республика Татарстан, РТ, г.Набережные Челны, пр.Московский, д.158, кв.99","2022-10-25T09:00:00","2022-10-21T09:00:00","2022-10-16T01:00:00","16:52:070304:5218","https://torgi.gov.ru/new/public/notices/view/22000156000000000001","квартира, пл. 28.5 кв.м, кадастровый номер 16:52:070304:5218, адрес: г.Набережные Челны, пр.Московский, д.158, кв.99. Начальная цена – 1 700 680,00 руб. (1670 (II), Шагапова Г.М.);","11","1700680.00","2022-10-16T00:31:27.327","Квартира","8"
"9","Республика Татарстан, РТ, Нижнекамский р-н, пгт Камские Поляны, д.2/40, кв.53","2022-10-25T09:00:00","2022-10-21T09:00:00","2022-10-16T01:00:00","16:30:150308:640","https://torgi.gov.ru/new/public/notices/view/22000156000000000001","квартира, пл. 43.5 кв.м, кадастровый номер 16:30:150308:640, Нижнекамский р-н, пгт Камские Поляны, д.2/40, кв.53. Начальная цена – 726 750,00 руб. (1673 (II), Назаров Н.Н.);","13","726750.00","2022-10-16T00:31:27.327","Квартира","9"
"10","Республика Татарстан, РТ, г.Набережные Челны, пр.Р.Беляева, д.8, кв.188","2022-10-25T09:00:00","2022-10-21T09:00:00","2022-10-16T01:00:00","16:52:040211:573","https://torgi.gov.ru/new/public/notices/view/22000156000000000001","квартира, пл. 58,7 кв.м, кадастровый номер 16:52:040211:573, адрес: г.Набережные Челны, пр.Р.Беляева, д.8, кв.188. Начальная цена – 2 040 000,00 руб. (432 (II), Минькашева К.И.);","14","2040000.00","2022-10-16T00:31:27.327","Квартира","10"
"11","Республика Татарстан, г.Казань, ул.Ю.Фучика, д.123, кв.24.","2022-10-25T09:00:00","2022-10-21T09:00:00","2022-10-16T01:00:00","16:50:150105:496","https://torgi.gov.ru/new/public/notices/view/22000156000000000001","2/5 доли квартиры, пл. 101.6 кв.м, кадастровый номер 16:50:150105:496, адрес: г.Казань, ул.Ю.Фучика, д.123, кв.24. Начальная цена – 1 551 420,00 руб. (1738 (II), Зайнуллин Р.И.);","15","1551420.00","2022-10-16T00:31:27.327","Доля в праве собственности","11"
"12","Республика Татарстан, РТ, Лаишевский район, с.Габишево, ул.Ленинская, д.10, кв.32","2022-10-25T09:00:00","2022-10-21T09:00:00","2022-10-16T01:00:00","16:24:210101:2365","https://torgi.gov.ru/new/public/notices/view/22000156000000000001","Квартира, пл.60,5 кв.м., к/н 16:24:210101:2365, адрес: РТ, Лаишевский район, с.Габишево, ул.Ленинская, д.10, кв.32. Начальная цена – 2 176 000,00 руб. (1173 (II), Пантилеев С.В.)","16","2176000.00","2022-10-16T00:31:27.327","Квартира","12"
